,SSYK 2012 kod,Yrkesbenämning
0,2173,3D-designer
1,2173,3D-grafiker
2,2173,3D-visualiserare
3,5242,Abonnemangsförsäljare
4,4222,Abonnemangskontorist
5,3114,"Abonnentingenjör, vatten och avlopp"
6,4222,Abonnentman
7,3322,Account manager
8,2412,Accounting controller
9,2652,"Ackompanjatör, klassisk musik"
10,2652,"Ackompanjatör, populärmusik"
11,4112,Ackordsuträknare
12,8212,Ackumulatorarbetare
13,9320,Ackumulatorskötare
14,3339,"Ackvisitör, annonser"
15,3433,"Ackvisitör, rekvisitör"
16,2172,AD (Art Director)
17,3432,AD-assistent
18,2671,"Adjunkt, evangelisk-luthersk"
19,2341,"Adjunkt, grundskola"
20,2330,"Adjunkt, gymnasieskola"
21,2319,"Adjunkt, högskola/universitet"
22,2671,"Adjunkt, Svenska kyrkan"
23,5343,ADL-assistent
24,4119,Administrativ assistent
25,1292,"Administrativ chef, verksamhetsnära chef "
26,1291,"Administrativ chef, funktions- eller mellanchef"
27,2421,Administrativ konsult
28,2421,Administrativ rationaliserare
29,2421,Administrativ utvecklare
30,4119,"Administratör, administrativ assistent"
31,4119,"Administratör, allmänkontorist"
32,2422,"Administratör, handläggare/utredare, intresseorganisation"
33,2422,"Administratör, handläggare/utredare, offentlig förvaltning"
34,4322,"Administratör, lager"
35,4112,"Administratör, löner"
36,2423,"Administratör, personalvetare"
37,4119,Adresserare
38,4119,Adresskontorist
39,8129,Aducerare
40,2611,Advokat
41,2619,Advokatfiskal
42,3342,Advokatsekreterare
43,3422,Aerobicsinstruktör
44,2283,Afasipedagog
45,9629,Affischbärare
46,9629,Affischklistrare
47,2172,Affischtecknare
48,9629,Affischuppsättare
49,9629,Affischör
50,5222,"Affärsbiträde, dagligvaror"
51,5223,"Affärsbiträde, fackhandel"
52,5230,"Affärsbiträde, spelbutik"
53,5226,"Affärsbiträde, videobutik"
54,3432,Affärsdekoratör
55,5221,"Affärsföreståndare (dagligvaror), säljande"
56,5221,"Affärsföreståndare (fackhandel), säljande"
57,5221,"Affärsföreståndare, 5-9 anställda, säljande"
58,1732,"Affärsföreståndare, administrativ, verksamhetsnära chef"
59,5221,Affärsidkare
60,5221,"Affärsinnehavare (dagligvaror), säljande"
61,5221,"Affärsinnehavare (fackhandel), säljande"
62,5221,"Affärsinnehavare, 5-9 anställda, säljande"
63,1732,"Affärsinnehavare, administrativ, verksamhetsnära chef"
64,2614,Affärsjurist
65,5230,Affärskassör
66,5230,Affärskassörska
67,3339,"Affärskonsulent, butik"
68,1251,"Affärsområdeschef, försäljnings- och marknadsansvar, funktions- eller mellanchef"
69,1252,"Affärsområdeschef, försäljnings- och marknadsansvar, verksamhetsnära chef"
70,1120,"Affärsområdeschef, lednings- och utvecklingsansvar"
71,4221,Affärsresekonsulent
72,4221,Affärsresekonsult
73,4221,Affärsresesäljare
74,2421,Affärsutvecklare
75,1291,"Affärsutvecklingschef, funktions- eller mellanchef"
76,1292,"Affärsutvecklingschef, verksamhetsnära chef"
77,3431,A-fotograf
78,3322,"Agent, detaljhandel"
79,3331,"Agent, partihandel"
80,2134,Agronom
81,8211,Airbagmontör
82,8159,"Airbagtillverkare, operatör"
83,2615,Akademiombudsman
84,2422,Akademisekreterare
85,3353,A-kassehandläggare
86,3439,Akrobat
87,2413,Aktieanalytiker
88,2414,Aktieförvaltare
89,3311,Aktiehandlare
90,3311,Aktiemäklare
91,5113,Aktivitetsguide
92,3423,"Aktivitetsledare, fritidsaktivitet"
93,5113,"Aktivitetsledare, guide"
94,5341,"Aktivitetsledare, psykvård, missbruk m.m."
95,2121,"Aktuarie, försäkringsbolag"
96,3230,Akupressör
97,3230,Akupunktör
98,2142,Akustiker
99,2142,Akustisk designer
100,2226,Akutsjuksköterska
101,6221,Akvariefiskuppfödare
102,6221,Akvarietekniker
103,3522,A-ljudtekniker
104,3411,Alkohol- och drogrådgivare
105,3411,Alkohol- och drogterapeut
106,3411,Alkohol- och drogutredare
