,Cities,Countries
0,El Tarter,Andorra
1,Sant Julià de Lòria,Andorra
2,Pas de la Casa,Andorra
3,Ordino,Andorra
4,les Escaldes,Andorra
5,la Massana,Andorra
6,Encamp,Andorra
7,Canillo,Andorra
8,Arinsal,Andorra
9,Andorra la Vella,Andorra
10,Umm al Qaywayn,United Arab Emirates
11,Ras al-Khaimah,United Arab Emirates
12,Muzayri‘,United Arab Emirates
13,Murbaḩ,United Arab Emirates
14,Khawr Fakkān,United Arab Emirates
15,Dubai,United Arab Emirates
16,Dibba Al-Fujairah,United Arab Emirates
17,Dibba Al-Hisn,United Arab Emirates
18,Sharjah,United Arab Emirates
19,Ar Ruways,United Arab Emirates
20,Al Fujayrah,United Arab Emirates
21,Al Ain,United Arab Emirates
22,Ajman,United Arab Emirates
23,Adh Dhayd,United Arab Emirates
24,Abu Dhabi,United Arab Emirates
25,Zorkot,Afganistan
26,Wulêswālī Bihsūd,Afganistan
27,Kuhsān,Afganistan
28,Lāsh,Afganistan
29,Tukzār,Afganistan
30,Mīray,Afganistan
31,Āq Kupruk,Afganistan
32,Zurmat,Afganistan
33,Zaybāk,Afganistan
34,Zīārat-e Shāh Maqşūd,Afganistan
35,Zindah Jān,Afganistan
36,Zarghūn Shahr,Afganistan
37,Zaṟah Sharan,Afganistan
38,Zaranj,Afganistan
39,Zamtō Kêlay,Afganistan
40,Yangī Qal‘ah,Afganistan
41,Yaḩyá Khēl,Afganistan
42,Wāshēr,Afganistan
43,Tōrmay,Afganistan
44,Tūlak,Afganistan
45,Tītān,Afganistan
46,Tīr Pul,Afganistan
47,Taywarah,Afganistan
48,Bāzār-e Tashkān,Afganistan
49,Tarinkot,Afganistan
50,Taloqan,Afganistan
51,Tagāw-Bāy,Afganistan
52,Tagāb,Afganistan
53,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,Afganistan
54,Spīn Bōldak,Afganistan
55,Spērah,Afganistan
56,Sōzmah Qal‘ah,Afganistan
57,Siyāhgird,Afganistan
58,Sheywah,Afganistan
59,Shīnḏanḏ,Afganistan
60,Shaykh Amīr Kêlay,Afganistan
61,Qāshqāl,Afganistan
62,Shibirghān,Afganistan
63,Shwāk,Afganistan
64,Shahr-e Şafā,Afganistan
65,Shahrān,Afganistan
66,Shahrak,Afganistan
67,‘Alāqahdārī Shāh Jōy,Afganistan
68,Wulêswālī Sayyid Karam,Afganistan
69,Markaz-e Sayyidābād,Afganistan
70,Şayād,Afganistan
71,Sidqābād,Afganistan
72,Sāyagaz,Afganistan
73,Sar-e Tayghān,Afganistan
74,Sarōbī,Afganistan
75,Sar Kāṉī,Afganistan
76,Sarfirāz Kalā,Afganistan
77,Sar-e Pul,Afganistan
78,Sar Chakān,Afganistan
79,Sangīn,Afganistan
80,Sang-e Māshah,Afganistan
81,Sang-e Chārak,Afganistan
82,Sang Atesh,Afganistan
83,Sangar Sarāy,Afganistan
84,Aībak,Afganistan
85,Rū-ye Sang,Afganistan
86,Rūdbār,Afganistan
87,Rustāq,Afganistan
88,Rabāţ-e Sangī-ye Pā’īn,Afganistan
89,Rāmak,Afganistan
90,Qurghān,Afganistan
91,Quchanghī,Afganistan
92,Sangalak-i-Kaisar,Afganistan
93,Qarqīn,Afganistan
94,Qarghah’ī,Afganistan
95,Qarchī Gak,Afganistan
96,Qarāwul,Afganistan
97,Qarah Bāgh,Afganistan
98,Qarah Bāgh,Afganistan
99,Qala i Naw,Afganistan
100,Qal‘ah-ye Kūf,Afganistan
101,Qal‘ah-ye Kuhnah,Afganistan
102,Qal‘ah-ye Shahr,Afganistan
103,Qalāt,Afganistan
104,Qal‘ah-ye Shāhī,Afganistan
105,Qādis,Afganistan
106,Pārūn,Afganistan
107,Pul-e Khumrī,Afganistan
108,Pul-e ‘Alam,Afganistan
109,Pasnay,Afganistan
110,Pāshmūl,Afganistan
111,Pasāband,Afganistan
112,Panjāb,Afganistan
113,Paghmān,Afganistan
114,Ōmnah,Afganistan
115,Qaryeh-ye Owbeh,Afganistan
116,Uruzgān,Afganistan
117,Urgun,Afganistan
118,Nūsay,Afganistan
119,Nūrgal,Afganistan
120,Now Zād,Afganistan
121,Nīlī,Afganistan
122,Nayak,Afganistan
123,Nāyak,Afganistan
124,Now Dahānak,Afganistan
125,Ōkak,Afganistan
126,Nāṟay,Afganistan
127,Narang,Afganistan
128,Nīkêh,Afganistan
129,Nahrīn,Afganistan
130,Ḩukūmat-e Nād ‘Alī,Afganistan
131,Mūsá Qal‘ah,Afganistan
132,Bala Murghab,Afganistan
133,Muqêr,Afganistan
134,Muḩammad Āghah Wuluswālī,Afganistan
135,Mīzān ‘Alāqahdārī,Afganistan
136,Mīr Bachah Kōṯ,Afganistan
137,Mīrān,Afganistan
138,Mīrābād,Afganistan
139,Maymana,Afganistan
140,Maīdān Khūlah,Afganistan
141,Mingajik,Afganistan
142,Mehtar Lām,Afganistan
143,Mazār-e Sharīf,Afganistan
144,Māymay,Afganistan
145,Mutā Khān,Afganistan
146,Mashhad,Afganistan
147,Mardīān,Afganistan
148,Mandōl,Afganistan
149,Māmā Khēl,Afganistan
150,Lashkar Gāh,Afganistan
151,Lāsh-e Juwayn,Afganistan
152,Larkird,Afganistan
153,La‘l,Afganistan
154,Kushk,Afganistan
155,Kōṯowāl,Afganistan
156,Kushk-e Kuhnah,Afganistan
157,Kuran wa Munjan,Afganistan
158,Kunduz,Afganistan
159,Khōshī,Afganistan
160,Khōshāmand,Afganistan
161,Khwājah Ghār,Afganistan
162,Khwājah Dū Kōh,Afganistan
163,Deh Khwāhān,Afganistan
164,Khulbisāt,Afganistan
165,Khūgyāṉī,Afganistan
166,Khōst,Afganistan
167,Khulm,Afganistan
168,Khudāydād Khēl,Afganistan
169,Khinjān,Afganistan
170,Khinj,Afganistan
171,Khāsh,Afganistan
172,Khān Neshīn,Afganistan
173,Khānaqāh,Afganistan
174,Chahār Bāgh,Afganistan
175,Khandūd,Afganistan
176,Khānaqāh,Afganistan
177,Khanabad,Afganistan
178,Khamyāb,Afganistan
179,Khākirān,Afganistan
180,Kaz̲h̲ah,Afganistan
181,Kishk-e Nakhūd,Afganistan
182,Karukh,Afganistan
183,Kanḏay,Afganistan
184,Kandahār,Afganistan
185,Kalān Deh,Afganistan
186,Kalakān,Afganistan
187,Kalafgān,Afganistan
188,Kajrān,Afganistan
189,Kai,Afganistan
190,Kabul,Afganistan
191,Jurm,Afganistan
192,Jawand,Afganistan
193,Jānī Khēl,Afganistan
194,Jalrēz,Afganistan
195,Jalālābād,Afganistan
196,Jabal os Saraj,Afganistan
197,Ḩukūmat-e Shīnkaī,Afganistan
198,Herāt,Afganistan
199,Ḩājī Khēl,Afganistan
200,Ḩāfiz̧ Moghul,Afganistan
201,Khafizan,Afganistan
202,Guz̄arah,Afganistan
203,Gōshtah,Afganistan
204,Gōmal Kêlay,Afganistan
205,‘Alāqahdārī Gēlān,Afganistan
206,Ghōriyān,Afganistan
207,Ghormach,Afganistan
208,Ghurayd Gharamē,Afganistan
209,Ghazni,Afganistan
210,Gereshk,Afganistan
211,Gardez,Afganistan
212,Fayzabad,Afganistan
213,Faīẕābād,Afganistan
214,Fayẕābād,Afganistan
215,Qal‘ah-ye Fārsī,Afganistan
216,Farkhār,Afganistan
217,Farah,Afganistan
218,Istālif,Afganistan
219,Kafir Qala,Afganistan
220,Injīl,Afganistan
221,Imām Şāḩib,Afganistan
222,Dōshī,Afganistan
223,Dowlatyār,Afganistan
224,Dowlat Shāh,Afganistan
225,Dowlatābād,Afganistan
226,Dowlatābād,Afganistan
227,Dū Qal‘ah,Afganistan
228,Dūāb,Afganistan
229,Dê Nārkhēl Kêlay,Afganistan
230,Dehī,Afganistan
231,Deh-e Şalāḩ,Afganistan
232,Deh-e Now,Afganistan
233,Dehdādī,Afganistan
234,Dwah Manḏay,Afganistan
235,Dasht-e Qal‘ah,Afganistan
236,Dasht-e Qal‘ah,Afganistan
237,Dasht-e Archī,Afganistan
238,Darzāb,Afganistan
