,Cities,Countries,Population
0,High Rock,Bahamas,3744.0
1,Isle of Arran,United Kingdom,5058.0
2,Aígio,Grekland,20422.0
3,Sherkot,Indien,57361.0
4,Karstädt,Tyskland,7189.0
5,Kolwezi,Democratic Republic of the Congo,418000.0
6,Denée,Frankrike,1467.0
7,Puting Kahoy,Filippinerna,4046.0
8,Sever do Vouga,Portugal,0.0
9,Bătarci,Rumänien,3681.0
10,District Heights,USA,6144.0
11,Spijkenisse,Nederländerna,74988.0
12,Pantelimon,Rumänien,712.0
13,Héron,Belgien,4305.0
14,Dzüünharaa,Mongoliet,18830.0
15,Dhanbād,Indien,219636.0
16,Mendexa,Spanien,0.0
17,Cherry Creek,USA,11120.0
18,Coupvray,Frankrike,2964.0
19,Carignan,Frankrike,3249.0
20,La Curva,Mexiko,5651.0
21,Belozërsk,Ryssland,11049.0
22,Santa María Huiramangaro (San Juan Tumbio),Mexiko,2590.0
23,Yuracyacu,Peru,0.0
24,Poprad,Slovakien,57431.0
25,Doppl,Austria,3136.0
26,Beaufort,Malaysia,15855.0
27,Sirsa,Indien,181639.0
28,Boisseron,Frankrike,1315.0
29,Abbeville,USA,2620.0
30,Gura Suhașului,Rumänien,1513.0
31,Snezhnogorsk,Ryssland,1286.0
32,Seehof,Tyskland,1048.0
33,Fossalunga,Italien,1539.0
34,Rūjiena,Lettland,3638.0
35,Lehe,Tyskland,1155.0
36,Kawthoung,Myanmar,57949.0
37,Xochitonalco,Mexiko,1345.0
38,Bălțești,Rumänien,1361.0
39,Ialysós,Grekland,11473.0
40,Brigg,United Kingdom,6787.0
41,Ca' degli Oppi,Italien,1349.0
42,Montalbano,Italien,2686.0
43,El Chayote,Mexiko,1817.0
44,Muratpaşa,Turkiet,450000.0
45,West Hempstead,USA,18862.0
46,Ingwiller,Frankrike,4098.0
47,Providencia,Mexiko,4501.0
48,Amstetten,Austria,15559.0
49,Ipatinga,Brasilien,228746.0
50,Hawley,USA,1152.0
51,Emtmannsberg,Tyskland,1146.0
52,Kitgum,Uganda,56891.0
53,Finestrat,Spanien,3908.0
54,Fais,Micronesia,215.0
55,Alfreton,United Kingdom,22550.0
56,Botao,Filippinerna,2719.0
57,Socopó,Venezuela,0.0
58,Villiers-en-Plaine,Frankrike,1343.0
59,South Point,USA,1376.0
60,Salem,USA,164549.0
61,Burry Port,United Kingdom,8310.0
62,Guanay,Bolivia,0.0
63,New Hartford Center,USA,1385.0
64,Casella,Italien,2662.0
65,Nianzishan,Kina,62131.0
66,San José Boxay,Mexiko,1037.0
67,Weitra,Austria,1599.0
68,Igurusi,Tanzania,24895.0
69,Cagayan de Oro,Filippinerna,445103.0
70,Cottbus,Tyskland,84754.0
71,Pouso Alegre,Brasilien,115201.0
72,Qibray,Uzbekistan,27750.0
73,Moreland,USA,1278.0
74,San Isidro,Mexiko,2512.0
75,Sukoharjo,Indonesien,0.0
76,Inwil,Schweiz,2163.0
77,Fountain Green,USA,1083.0
78,San Pietro in Cariano,Italien,6119.0
79,Richmond,Kanada,182000.0
80,Kırka,Turkiet,4097.0
81,Little Dunmow,United Kingdom,2190.0
82,Lanouée,Frankrike,1638.0
83,Pine Ridge,USA,3308.0
84,Buruanga,Filippinerna,0.0
85,Montbard,Frankrike,5737.0
86,Selzen,Tyskland,1557.0
87,Gricignano di Aversa,Italien,10559.0
88,San Jacinto,Mexiko,1661.0
89,Clearlake Oaks,USA,2359.0
90,Şirineasa,Rumänien,2571.0
91,Linares de la Sierra,Spanien,0.0
92,Romanillos de Atienza,Spanien,59.0
