,Island
0,Hanö
1,Hasslö
2,Sturkö
3,Tjärö
4,Tärnö
5,Utklippan
6,Sollerön
7,Asunden
8,Aurgrunn
9,Bunge aur
10,Enholmen
11,Fjaugen
12,Furillen
13,Fårö
14,Gotland
15,Gotska Sandön
16,Grunnet
17,Heligholmen
18,Hojskär
19,Klasen
20,Lilla Karlsö
21,Lörgeholm
22,Majgu
23,Marpesholm
24,Rävlen
25,Sildungen
26,Skarvagrunn
27,Skenalden
28,Skenholmen
29,S:t Olofsholm
30,Storgraut
31,Stora Karlsö
32,Östergarnsholm
33,Bergön
34,Brännön
35,Iggesundsön
36,Iggön
37,Limön
38,Nidingen
39,Ammerön
40,Andersön
41,Börö-ön
42,Frösön
43,Isön
44,Verkön
45,Norderön
46,Visingsö
47,Blå Jungfrun
48,Händelöp
49,Öland
50,Bolmsö
51,Helgö
52,Altappen
53,Brändön
54,Brändöskär
55,Germandön
56,Haparanda Sandskär
57,Hertsön
58,Holmen (Råneå)
59,Junkön
60,Kataja
61,Kluntarna
62,Kunoön
63,Likskär
64,Malören
65,Sandön
66,Seskarö
67,Tantamanni
68,Uddskär
69,Hallands Väderö
70,Ivö
71,Ven
72,Adelsö
73,Arholma
74,Björkö
75,Blidö
76,Ekerö
77,Estbröte
78,Grinda
79,Fejan
80,Fjärdholmarna
81,Färingsö
82,Ingarö
83,Kungshatt
84,Kungsholmen
85,Kärsön
86,Lilla Essingen
87,Lidingön
88,Lovön
89,Långholmen
90,Munsö
91,Nämdö
92,Ornö
93,Reimersholme
94,Rindö
95,Runmarö
96,Rådalsholmen
97,Singö
98,Skarpö
99,Stadsholmen
100,Stora Essingen
101,Södertörn
102,Torö
103,Utö
104,Väddö
105,Värmdö
106,Vätö
107,Yxlan
108,Årsta Holmar
109,Ägnö
110,Gräsö
111,Örskär
112,Raggarön
113,Ormön
114,Fälön
115,Vässarö
116,Slätön
117,Medholma
118,Yxeln
119,Tvärnö
120,Stora Risten
121,Sladdarön
122,Rävsten
123,Värlingsö
124,Länsö
125,Garpen
126,Enholmen
127,Björkgrundet
128,Lambskär
129,Rödskäret
130,Högsten
131,Storskäret
132,Holmöarna
133,Norrbyskär
134,Obbolaön
135,Alnön
136,Hemsön
137,Härnön
138,Högbonden
139,Mjältön
140,Trysunda
141,Ulvön
142,Amundö
143,Asperö
144,Bassholmen
145,Bissen
146,Bohus-Björkö
147,Brännö
148,Danaholmen
149,Donsö
150,Fotö
151,Galtö
152,Hamburgö
153,Hisingen
154,"Hällsö, Tanum"
155,"Hälsö, Öckerö"
156,Hönö
157,Kalvsund
158,"Kalvö, Havstenssund"
159,"Kalvön, Fjällbacka"
160,Koster
161,Klädesholmen
162,Kållandsö
163,Käringön
164,Källö-Knippla
165,Köpstadsö
166,Lindö
167,Malmön
168,Orust
169,Resö
170,Rörö
171,Stenungsön
172,Stora Dyrön
173,Skaftölandet
174,Tjörn
175,Torsö
176,Trossö
177,Vattenholmen
178,Vinga
179,Väderöarna
180,Åstol
181,Öckerö
182,Esterön
183,Fläsklösen
