,0,3
0,ISO 639-3,Language Name
1,aaa,Ghotuo
2,aab,Alumu-Tesu
3,aac,Ari
4,aad,Amal
5,aae,Arbëreshë Albanian
6,aaf,Aranadan
7,aag,Ambrak
8,aah,Abu' Arapesh
9,aai,Arifama-Miniafia
10,aak,Ankave
11,aal,Afade
12,aam,Aramanik
13,aan,Anambé
14,aao,Algerian Saharan Arabic
15,aap,Pará Arára
16,aaq,Eastern Abnaki
17,aar,Afar
18,aas,Aasáx
19,aat,Arvanitika Albanian
20,aau,Abau
21,aaw,Solong
22,aax,Mandobo Atas
23,aaz,Amarasi
24,aba,Abé
25,abb,Bankon
26,abc,Ambala Ayta
27,abd,Manide
28,abe,Western Abnaki
29,abf,Abai Sungai
30,abg,Abaga
31,abh,Tajiki Arabic
32,abi,Abidji
33,abj,Aka-Bea
34,abk,Abkhazian
35,abl,Lampung Nyo
36,abm,Abanyom
37,abn,Abua
38,abo,Abon
39,abp,Abellen Ayta
40,abq,Abaza
41,abr,Abron
42,abs,Ambonese Malay
43,abt,Ambulas
44,abu,Abure
45,abv,Baharna Arabic
46,abw,Pal
47,abx,Inabaknon
48,aby,Aneme Wake
49,abz,Abui
50,aca,Achagua
51,acb,Áncá
52,acd,Gikyode
53,ace,Achinese
54,acf,Saint Lucian Creole French
55,ach,Acoli
56,aci,Aka-Cari
57,ack,Aka-Kora
58,acl,Akar-Bale
59,acm,Mesopotamian Arabic
60,acn,Achang
61,acp,Eastern Acipa
62,acq,Ta'izzi-Adeni Arabic
63,acr,Achi
64,acs,Acroá
65,act,Achterhoeks
66,acu,Achuar-Shiwiar
67,acv,Achumawi
68,acw,Hijazi Arabic
69,acx,Omani Arabic
70,acy,Cypriot Arabic
71,acz,Acheron
72,ada,Adangme
73,adb,Adabe
74,add,Dzodinka
75,ade,Adele
76,adf,Dhofari Arabic
77,adg,Andegerebinha
78,adh,Adhola
79,adi,Adi
80,adj,Adioukrou
81,adl,Galo
82,adn,Adang
83,ado,Abu
84,adp,Adap
85,adq,Adangbe
86,adr,Adonara
87,ads,Adamorobe Sign Language
88,adt,Adnyamathanha
89,adu,Aduge
90,adw,Amundava
91,adx,Amdo Tibetan
92,ady,Adyghe
93,adz,Adzera
94,aea,Areba
95,aeb,Tunisian Arabic
96,aec,Saidi Arabic
97,aed,Argentine Sign Language
98,aee,Northeast Pashai
99,aek,Haeke
100,ael,Ambele
101,aem,Arem
102,aen,Armenian Sign Language
103,aeq,Aer
104,aer,Eastern Arrernte
105,aes,Alsea
106,aeu,Akeu
107,aew,Ambakich
108,aey,Amele
109,aez,Aeka
110,afa,Afro-Asiatic languages
111,afb,Gulf Arabic
112,afd,Andai
113,afe,Putukwam
114,afg,Afghan Sign Language
115,afh,Afrihili
116,afi,Akrukay
117,afk,Nanubae
118,afn,Defaka
119,afo,Eloyi
120,afp,Tapei
121,afr,Afrikaans
122,afs,Afro-Seminole Creole
123,aft,Afitti
124,afu,Awutu
125,afz,Obokuitai
126,aga,Aguano
127,agb,Legbo
128,agc,Agatu
129,agd,Agarabi
130,age,Angal
131,agf,Arguni
132,agg,Angor
133,agh,Ngelima
134,agi,Agariya
135,agj,Argobba
136,agk,Isarog Agta
137,agl,Fembe
138,agm,Angaataha
139,agn,Agutaynen
140,ago,Tainae
141,agq,Aghem
142,agr,Aguaruna
143,ags,Esimbi
144,agt,Central Cagayan Agta
145,agu,Aguacateco
146,agv,Remontado Dumagat
147,agw,Kahua
148,agx,Aghul
149,agy,Southern Alta
150,agz,Mt. Iriga Agta
151,aha,Ahanta
152,ahb,Axamb
153,ahg,Qimant
154,ahh,Aghu
155,ahi,Tiagbamrin Aizi
156,ahk,Akha
157,ahl,Igo
158,ahm,Mobumrin Aizi
159,ahn,Àhàn
160,aho,Ahom
161,ahp,Aproumu Aizi
162,ahr,Ahirani
163,ahs,Ashe
164,aht,Ahtena
165,aia,Arosi
166,aib,Ainu (China)
167,aic,Ainbai
168,aid,Alngith
169,aie,Amara
170,aif,Agi
171,aig,Antigua and Barbuda Creole English
172,aih,Ai-Cham
173,aii,Assyrian Neo-Aramaic
174,aij,Lishanid Noshan
175,aik,Ake
176,ail,Aimele
177,aim,Aimol
178,ain,Ainu (Japan)
179,aio,Aiton
180,aip,Burumakok
181,aiq,Aimaq
182,air,Airoran
183,ais,Nataoran Amis
184,ait,Arikem
185,aiw,Aari
186,aix,Aighon
187,aiy,Ali
188,aja,Aja (Sudan)
189,ajg,Aja (Benin)
190,aji,Ajië
191,ajn,Andajin
192,ajp,South Levantine Arabic
193,ajt,Judeo-Tunisian Arabic
194,aju,Judeo-Moroccan Arabic
195,ajw,Ajawa
196,ajz,Amri Karbi
197,aka,Akan
198,akb,Batak Angkola
199,akc,Mpur
200,akd,Ukpet-Ehom
201,ake,Akawaio
202,akf,Akpa
203,akg,Anakalangu
204,akh,Angal Heneng
205,aki,Aiome
206,akj,Aka-Jeru
207,akk,Akkadian
208,akl,Aklanon
209,akm,Aka-Bo
210,ako,Akurio
211,akp,Siwu
212,akq,Ak
213,akr,Araki
214,aks,Akaselem
215,akt,Akolet
216,aku,Akum
217,akv,Akhvakh
218,akw,Akwa
219,akx,Aka-Kede
220,aky,Aka-Kol
221,akz,Alabama
222,ala,Alago
223,alc,Qawasqar
224,ald,Alladian
225,ale,Aleut
226,alf,Alege
227,alg,Algonquian languages
228,alh,Alawa
229,ali,Amaimon
230,alj,Alangan
231,alk,Alak
232,all,Allar
233,alm,Amblong
234,aln,Gheg Albanian
235,alo,Larike-Wakasihu
236,alp,Alune
237,alq,Algonquin
238,alr,Alutor
239,als,Tosk Albanian
240,alt,Southern Altai
241,alu,'Are'are
242,alw,Alaba-K’abeena
243,alx,Amol
244,aly,Alyawarr
245,alz,Alur
246,ama,Amanayé
247,amb,Ambo
248,amc,Amahuaca
249,ame,Yanesha'
250,amf,Hamer-Banna
251,amg,Amurdak
252,amh,Amharic
253,ami,Amis
254,amj,Amdang
255,amk,Ambai
256,aml,War-Jaintia
257,amm,Ama (Papua New Guinea)
258,amn,Amanab
259,amo,Amo
260,amp,Alamblak
261,amq,Amahai
262,amr,Amarakaeri
263,ams,Southern Amami-Oshima
264,amt,Amto
265,amu,Guerrero Amuzgo
266,amv,Ambelau
267,amw,Western Neo-Aramaic
268,amx,Anmatyerre
269,amy,Ami
270,amz,Atampaya
271,ana,Andaqui
272,anb,Andoa
273,anc,Ngas
274,and,Ansus
275,ane,Xârâcùù
276,anf,Animere
277,ang,Old English (ca. 450-1100)
278,anh,Nend
279,ani,Andi
280,anj,Anor
281,ank,Goemai
282,anl,Anu-Hkongso Chin
283,anm,Anal
284,ann,Obolo
285,ano,Andoque
286,anp,Angika
287,anq,Jarawa (India)
288,anr,Andh
289,ans,Anserma
290,ant,Antakarinya
291,anu,Anuak
292,anv,Denya
293,anw,Anaang
294,anx,Andra-Hus
295,any,Anyin
296,anz,Anem
297,aoa,Angolar
298,aob,Abom
299,aoc,Pemon
300,aod,Andarum
301,aoe,Angal Enen
302,aof,Bragat
303,aog,Angoram
304,aoh,Arma
305,aoi,Anindilyakwa
306,aoj,Mufian
307,aok,Arhö
308,aol,Alor
309,aom,Ömie
310,aon,Bumbita Arapesh
311,aor,Aore
312,aos,Taikat
313,aot,Atong (India)
314,aou,A'ou
315,aox,Atorada
316,aoz,Uab Meto
317,apa,Apache languages
318,apb,Sa'a
319,apc,North Levantine Arabic
320,apd,Sudanese Arabic
321,ape,Bukiyip
322,apf,Pahanan Agta
323,apg,Ampanang
324,aph,Athpariya
325,api,Apiaká
326,apj,Jicarilla Apache
327,apk,Kiowa Apache
328,apl,Lipan Apache
329,apm,Mescalero-Chiricahua Apache
330,apn,Apinayé
331,apo,Ambul
332,app,Apma
333,apq,A-Pucikwar
334,apr,Arop-Lokep
335,aps,Arop-Sissano
336,apt,Apatani
337,apu,Apurinã
338,apv,Alapmunte
339,apw,Western Apache
340,apx,Aputai
341,apy,Apalaí
342,apz,Safeyoka
343,aqc,Archi
344,aqd,Ampari Dogon
345,aqg,Arigidi
346,aqm,Atohwaim
347,aqn,Northern Alta
348,aqp,Atakapa
349,aqr,Arhâ
350,aqt,Angaité
351,aqz,Akuntsu
352,ara,Arabic
353,arb,Standard Arabic
354,arc,Official Aramaic (700-300 BCE)
355,ard,Arabana
356,are,Western Arrarnta
357,arg,Aragonese
358,arh,Arhuaco
359,ari,Arikara
360,arj,Arapaso
361,ark,Arikapú
362,arl,Arabela
363,arn,Mapudungun
364,aro,Araona
365,arp,Arapaho
366,arq,Algerian Arabic
367,arr,Karo (Brazil)
368,ars,Najdi Arabic
369,art,Artificial languages
370,aru,Aruá (Amazonas State)
371,arv,Arbore
372,arw,Arawak
373,arx,Aruá (Rodonia State)
374,ary,Moroccan Arabic
375,arz,Egyptian Arabic
376,asa,Asu (Tanzania)
377,asb,Assiniboine
378,asc,Casuarina Coast Asmat
379,asd,Asas
380,ase,American Sign Language
381,asf,Australian Sign Language
382,asg,Cishingini
383,ash,Abishira
384,asi,Buruwai
385,asj,Sari
386,ask,Ashkun
387,asl,Asilulu
388,asm,Assamese
389,asn,Xingú Asuriní
390,aso,Dano
391,asp,Algerian Sign Language
392,asq,Austrian Sign Language
393,asr,Asuri
394,ass,Ipulo
395,ast,Asturian
396,asu,Tocantins Asurini
397,asv,Asoa
398,asw,Australian Aborigines Sign Language
399,asx,Muratayak
400,asy,Yaosakor Asmat
401,asz,As
402,ata,Pele-Ata
403,atb,Zaiwa
404,atc,Atsahuaca
405,atd,Ata Manobo
406,ate,Atemble
407,atg,Ivbie North-Okpela-Arhe
408,ath,Athapascan languages
409,ati,Attié
410,atj,Atikamekw
411,atk,Ati
412,atl,Mt. Iraya Agta
413,atm,Ata
414,atn,Ashtiani
415,ato,Atong (Cameroon)
416,atp,Pudtol Atta
417,atq,Aralle-Tabulahan
418,atr,Waimiri-Atroari
419,ats,Gros Ventre
420,att,Pamplona Atta
421,atu,Reel
422,atv,Northern Altai
423,atw,Atsugewi
424,atx,Arutani
425,aty,Aneityum
426,atz,Arta
427,aua,Asumboa
428,aub,Alugu
429,auc,Waorani
430,aud,Anuta
431,aue,=/Kx'au//'ein
432,aug,Aguna
433,auh,Aushi
434,aui,Anuki
435,auj,Awjilah
436,auk,Heyo
437,aul,Aulua
438,aum,Asu (Nigeria)
439,aun,Molmo One
440,auo,Auyokawa
441,aup,Makayam
442,auq,Anus
443,aur,Aruek
444,aus,Australian languages
445,aut,Austral
446,auu,Auye
447,auw,Awyi
448,aux,Aurá
449,auy,Awiyaana
450,auz,Uzbeki Arabic
451,ava,Avaric
452,avb,Avau
453,avd,Alviri-Vidari
454,ave,Avestan
455,avi,Avikam
456,avk,Kotava
457,avl,Eastern Egyptian Bedawi Arabic
458,avm,Angkamuthi
459,avn,Avatime
460,avo,Agavotaguerra
461,avs,Aushiri
462,avt,Au
463,avu,Avokaya
464,avv,Avá-Canoeiro
465,awa,Awadhi
466,awb,Awa (Papua New Guinea)
467,awc,Cicipu
468,awe,Awetí
469,awg,Anguthimri
470,awh,Awbono
471,awi,Aekyom
472,awk,Awabakal
473,awm,Arawum
474,awn,Awngi
475,awo,Awak
476,awr,Awera
477,aws,South Awyu
478,awt,Araweté
479,awu,Central Awyu
480,awv,Jair Awyu
481,aww,Awun
482,awx,Awara
483,awy,Edera Awyu
484,axb,Abipon
485,axe,Ayerrerenge
486,axg,Mato Grosso Arára
487,axk,Yaka (Central African Republic)
488,axl,Lower Southern Aranda
489,axm,Middle Armenian
490,axx,Xârâgurè
491,aya,Awar
492,ayb,Ayizo Gbe
493,ayc,Southern Aymara
494,ayd,Ayabadhu
495,aye,Ayere
496,ayg,Ginyanga
497,ayh,Hadrami Arabic
498,ayi,Leyigha
499,ayk,Akuku
500,ayl,Libyan Arabic
501,aym,Aymara
502,ayn,Sanaani Arabic
503,ayo,Ayoreo
504,ayp,North Mesopotamian Arabic
505,ayq,Ayi (Papua New Guinea)
506,ayr,Central Aymara
507,ays,Sorsogon Ayta
508,ayt,Magbukun Ayta
509,ayu,Ayu
510,ayx,Ayi (China)
511,ayy,Tayabas Ayta
512,ayz,Mai Brat
513,aza,Azha
514,azb,South Azerbaijani
515,azd,Eastern Durango Nahuatl
516,aze,Azerbaijani
517,azg,San Pedro Amuzgos Amuzgo
518,azj,North Azerbaijani
519,azm,Ipalapa Amuzgo
520,azn,Western Durango Nahuatl
521,azo,Awing
522,azt,Faire Atta
523,azz,Highland Puebla Nahuatl
524,baa,Babatana
525,bab,Bainouk-Gunyuño
526,bac,Badui
527,bad,Banda languages
528,bae,Baré
529,baf,Nubaca
530,bag,Tuki
531,bah,Bahamas Creole English
532,bai,Bamileke languages
533,baj,Barakai
534,bak,Bashkir
535,bal,Baluchi
536,bam,Bambara
537,ban,Balinese
538,bao,Waimaha
539,bap,Bantawa
540,bar,Bavarian
541,bas,Basa (Cameroon)
542,bat,Baltic languages
543,bau,Bada (Nigeria)
544,bav,Vengo
545,baw,Bambili-Bambui
546,bax,Bamun
547,bay,Batuley
548,baz,Tunen
549,bba,Baatonum
550,bbb,Barai
551,bbc,Batak Toba
552,bbd,Bau
553,bbe,Bangba
554,bbf,Baibai
555,bbg,Barama
556,bbh,Bugan
557,bbi,Barombi
558,bbj,Ghomálá'
559,bbk,Babanki
560,bbl,Bats
561,bbm,Babango
562,bbn,Uneapa
563,bbo,Northern Bobo Madaré
564,bbp,West Central Banda
565,bbq,Bamali
566,bbr,Girawa
567,bbs,Bakpinka
568,bbt,Mburku
569,bbu,Kulung (Nigeria)
570,bbv,Karnai
571,bbw,Baba
572,bbx,Bubia
573,bby,Befang
574,bbz,Babalia Creole Arabic
575,bca,Central Bai
576,bcb,Bainouk-Samik
577,bcc,Southern Balochi
578,bcd,North Babar
579,bce,Bamenyam
580,bcf,Bamu
581,bcg,Baga Pokur
582,bch,Bariai
583,bci,Baoulé
584,bcj,Bardi
585,bck,Bunaba
586,bcl,Central Bikol
587,bcm,Bannoni
588,bcn,Bali (Nigeria)
589,bco,Kaluli
590,bcp,Bali (Democratic Republic of Congo)
591,bcq,Bench
592,bcr,Babine
593,bcs,Kohumono
594,bct,Bendi
595,bcu,Awad Bing
596,bcv,Shoo-Minda-Nye
597,bcw,Bana
598,bcy,Bacama
599,bcz,Bainouk-Gunyaamolo
600,bda,Bayot
601,bdb,Basap
602,bdc,Emberá-Baudó
603,bdd,Bunama
604,bde,Bade
605,bdf,Biage
606,bdg,Bonggi
607,bdh,Baka (Sudan)
608,bdi,Burun
609,bdj,Bai
610,bdk,Budukh
611,bdl,Indonesian Bajau
612,bdm,Buduma
613,bdn,Baldemu
614,bdo,Morom
615,bdp,Bende
616,bdq,Bahnar
617,bdr,West Coast Bajau
618,bds,Burunge
619,bdt,Bokoto
620,bdu,Oroko
621,bdv,Bodo Parja
622,bdw,Baham
623,bdx,Budong-Budong
624,bdy,Bandjalang
625,bdz,Badeshi
626,bea,Beaver
627,beb,Bebele
628,bec,Iceve-Maci
629,bed,Bedoanas
630,bee,Byangsi
631,bef,Benabena
632,beg,Belait
633,beh,Biali
634,bei,Bekati'
635,bej,Beja
636,bek,Bebeli
637,bel,Belarusian
638,bem,Bemba (Zambia)
639,ben,Bengali
640,beo,Beami
641,bep,Besoa
642,beq,Beembe
643,ber,Berber languages
644,bes,Besme
645,bet,Guiberoua Béte
646,beu,Blagar
647,bev,Daloa Bété
648,bew,Betawi
649,bex,Jur Modo
650,bey,Beli (Papua New Guinea)
651,bez,Bena (Tanzania)
652,bfa,Bari
653,bfb,Pauri Bareli
654,bfc,Panyi Bai
655,bfd,Bafut
656,bfe,Betaf
657,bff,Bofi
658,bfg,Busang Kayan
659,bfh,Blafe
660,bfi,British Sign Language
661,bfj,Bafanji
662,bfk,Ban Khor Sign Language
663,bfl,Banda-Ndélé
664,bfm,Mmen
665,bfn,Bunak
666,bfo,Malba Birifor
667,bfp,Beba
668,bfq,Badaga
669,bfr,Bazigar
670,bfs,Southern Bai
671,bft,Balti
672,bfu,Gahri
673,bfw,Bondo
674,bfx,Bantayanon
675,bfy,Bagheli
676,bfz,Mahasu Pahari
677,bga,Gwamhi-Wuri
678,bgb,Bobongko
679,bgc,Haryanvi
680,bgd,Rathwi Bareli
681,bge,Bauria
682,bgf,Bangandu
683,bgg,Bugun
684,bgi,Giangan
685,bgj,Bangolan
686,bgk,Bit
687,bgl,Bo (Laos)
688,bgm,Baga Mboteni
689,bgn,Western Balochi
690,bgo,Baga Koga
691,bgp,Eastern Balochi
692,bgq,Bagri
693,bgr,Bawm Chin
694,bgs,Tagabawa
695,bgt,Bughotu
696,bgu,Mbongno
697,bgv,Warkay-Bipim
698,bgw,Bhatri
699,bgx,Balkan Gagauz Turkish
700,bgy,Benggoi
701,bgz,Banggai
702,bha,Bharia
703,bhb,Bhili
704,bhc,Biga
705,bhd,Bhadrawahi
706,bhe,Bhaya
707,bhf,Odiai
708,bhg,Binandere
709,bhh,Bukharic
710,bhi,Bhilali
711,bhj,Bahing
712,bhl,Bimin
713,bhm,Bathari
714,bhn,Bohtan Neo-Aramaic
715,bho,Bhojpuri
716,bhp,Bima
717,bhq,Tukang Besi South
718,bhr,Bara Malagasy
719,bhs,Buwal
720,bht,Bhattiyali
721,bhu,Bhunjia
722,bhv,Bahau
723,bhw,Biak
724,bhx,Bhalay
725,bhy,Bhele
726,bhz,Bada (Indonesia)
727,bia,Badimaya
728,bib,Bissa
729,bic,Bikaru
730,bid,Bidiyo
731,bie,Bepour
732,bif,Biafada
733,big,Biangai
734,bih,Bihari 
735,bij,Vaghat-Ya-Bijim-Legeri
736,bik,Bikol
737,bil,Bile
738,bim,Bimoba
739,bin,Bini
740,bio,Nai
741,bip,Bila
742,biq,Bipi
743,bir,Bisorio
744,bis,Bislama
745,bit,Berinomo
746,biu,Biete
747,biv,Southern Birifor
748,biw,Kol (Cameroon)
749,bix,Bijori
750,biy,Birhor
751,biz,Baloi
752,bja,Budza
753,bjb,Banggarla
754,bjc,Bariji
755,bjd,Bandjigali
756,bje,Biao-Jiao Mien
757,bjf,Barzani Jewish Neo-Aramaic
758,bjg,Bidyogo
759,bjh,Bahinemo
760,bji,Burji
761,bjj,Kanauji
762,bjk,Barok
763,bjl,Bulu (Papua New Guinea)
764,bjm,Bajelani
765,bjn,Banjar
766,bjo,Mid-Southern Banda
767,bjp,Fanamaket
768,bjq,Southern Betsimisaraka Malagasy
769,bjr,Binumarien
770,bjs,Bajan
771,bjt,Balanta-Ganja
772,bju,Busuu
773,bjv,Bedjond
774,bjw,Bakwé
775,bjx,Banao Itneg
776,bjy,Bayali
777,bjz,Baruga
778,bka,Kyak
779,bkc,Baka (Cameroon)
780,bkd,Binukid
781,bkf,Beeke
782,bkg,Buraka
783,bkh,Bakoko
784,bki,Baki
785,bkj,Pande
786,bkk,Brokskat
787,bkl,Berik
788,bkm,Kom (Cameroon)
789,bkn,Bukitan
790,bko,Kwa'
791,bkp,Boko (Democratic Republic of Congo)
792,bkq,Bakairí
793,bkr,Bakumpai
794,bks,Northern Sorsoganon
795,bkt,Boloki
796,bku,Buhid
797,bkv,Bekwarra
798,bkw,Bekwel
799,bkx,Baikeno
800,bky,Bokyi
801,bkz,Bungku
802,bla,Siksika
803,blb,Bilua
804,blc,Bella Coola
805,bld,Bolango
806,ble,Balanta-Kentohe
807,blf,Buol
808,blg,Balau
809,blh,Kuwaa
810,bli,Bolia
811,blj,Bolongan
812,blk,Pa'o Karen
813,bll,Biloxi
814,blm,Beli (Sudan)
815,bln,Southern Catanduanes Bikol
816,blo,Anii
817,blp,Blablanga
818,blq,Baluan-Pam
819,blr,Blang
820,bls,Balaesang
821,blt,Tai Dam
822,blv,Bolo
823,blw,Balangao
824,blx,Mag-Indi Ayta
825,bly,Notre
826,blz,Balantak
827,bma,Lame
828,bmb,Bembe
829,bmc,Biem
830,bmd,Baga Manduri
831,bme,Limassa
832,bmf,Bom
833,bmg,Bamwe
834,bmh,Kein
835,bmi,Bagirmi
836,bmj,Bote-Majhi
837,bmk,Ghayavi
838,bml,Bomboli
839,bmm,Northern Betsimisaraka Malagasy
840,bmn,Bina (Papua New Guinea)
841,bmo,Bambalang
842,bmp,Bulgebi
843,bmq,Bomu
844,bmr,Muinane
845,bms,Bilma Kanuri
846,bmt,Biao Mon
847,bmu,Somba-Siawari
848,bmv,Bum
849,bmw,Bomwali
850,bmx,Baimak
851,bmy,Bemba (Democratic Republic of Congo)
852,bmz,Baramu
853,bna,Bonerate
854,bnb,Bookan
855,bnc,Bontok
856,bnd,Banda (Indonesia)
857,bne,Bintauna
858,bnf,Masiwang
859,bng,Benga
860,bni,Bangi
861,bnj,Eastern Tawbuid
862,bnk,Bierebo
863,bnl,Boon
864,bnm,Batanga
865,bnn,Bunun
866,bno,Bantoanon
867,bnp,Bola
868,bnq,Bantik
869,bnr,Butmas-Tur
870,bns,Bundeli
871,bnt,Bantu (Other)
872,bnu,Bentong
873,bnv,Bonerif
874,bnw,Bisis
875,bnx,Bangubangu
876,bny,Bintulu
877,bnz,Beezen
878,boa,Bora
879,bob,Aweer
880,bod,Tibetan
881,boe,Mundabli
882,bof,Bolon
883,bog,Bamako Sign Language
884,boh,Boma
885,boi,Barbareño
886,boj,Anjam
887,bok,Bonjo
888,bol,Bole
889,bom,Berom
890,bon,Bine
891,boo,Tiemacèwè Bozo
892,bop,Bonkiman
893,boq,Bogaya
894,bor,Borôro
895,bos,Bosnian
896,bot,Bongo
897,bou,Bondei
898,bov,Tuwuli
899,bow,Rema
900,box,Buamu
901,boy,Bodo (Central African Republic)
902,boz,Tiéyaxo Bozo
903,bpa,Daakaka
904,bpb,Barbacoas
905,bpd,Banda-Banda
906,bpg,Bonggo
907,bph,Botlikh
908,bpi,Bagupi
909,bpj,Binji
910,bpk,Orowe
911,bpl,Broome Pearling Lugger Pidgin
912,bpm,Biyom
913,bpn,Dzao Min
914,bpo,Anasi
915,bpp,Kaure
916,bpq,Banda Malay
917,bpr,Koronadal Blaan
918,bps,Sarangani Blaan
919,bpt,Barrow Point
920,bpu,Bongu
921,bpv,Bian Marind
922,bpw,Bo (Papua New Guinea)
923,bpx,Palya Bareli
924,bpy,Bishnupriya
925,bpz,Bilba
926,bqa,Tchumbuli
927,bqb,Bagusa
928,bqc,Boko (Benin)
929,bqd,Bung
930,bqf,Baga Kaloum
931,bqg,Bago-Kusuntu
932,bqh,Baima
933,bqi,Bakhtiari
934,bqj,Bandial
935,bqk,Banda-Mbrès
936,bql,Bilakura
937,bqm,Wumboko
938,bqn,Bulgarian Sign Language
939,bqo,Balo
940,bqp,Busa
941,bqq,Biritai
942,bqr,Burusu
943,bqs,Bosngun
944,bqt,Bamukumbit
945,bqu,Boguru
946,bqv,Koro Wachi
947,bqw,Buru (Nigeria)
948,bqx,Baangi
949,bqy,Bengkala Sign Language
950,bqz,Bakaka
951,bra,Braj
952,brb,Lave
953,brc,Berbice Creole Dutch
954,brd,Baraamu
955,bre,Breton
956,brf,Bera
957,brg,Baure
958,brh,Brahui
959,bri,Mokpwe
960,brj,Bieria
961,brk,Birked
962,brl,Birwa
963,brm,Barambu
964,brn,Boruca
965,bro,Brokkat
966,brp,Barapasi
967,brq,Breri
968,brr,Birao
969,brs,Baras
970,brt,Bitare
971,bru,Eastern Bru
972,brv,Western Bru
973,brw,Bellari
974,brx,Bodo (India)
975,bry,Burui
976,brz,Bilbil
977,bsa,Abinomn
978,bsb,Brunei Bisaya
979,bsc,Bassari
980,bse,Wushi
981,bsf,Bauchi
982,bsg,Bashkardi
983,bsh,Kati
984,bsi,Bassossi
985,bsj,Bangwinji
986,bsk,Burushaski
987,bsl,Basa-Gumna
988,bsm,Busami
989,bsn,Barasana-Eduria
990,bso,Buso
991,bsp,Baga Sitemu
992,bsq,Bassa
993,bsr,Bassa-Kontagora
994,bss,Akoose
995,bst,Basketo
996,bsu,Bahonsuai
997,bsv,Baga Sobané
998,bsw,Baiso
999,bsx,Yangkam
1000,bsy,Sabah Bisaya
1001,bta,Bata
1002,btc,Bati (Cameroon)
1003,btd,Batak Dairi
1004,bte,Gamo-Ningi
1005,btf,Birgit
1006,btg,Gagnoa Bété
1007,bth,Biatah Bidayuh
1008,bti,Burate
1009,btj,Bacanese Malay
1010,btk,Batak languages
1011,btl,Bhatola
1012,btm,Batak Mandailing
1013,btn,Ratagnon
1014,bto,Rinconada Bikol
1015,btp,Budibud
1016,btq,Batek
1017,btr,Baetora
1018,bts,Batak Simalungun
1019,btt,Bete-Bendi
1020,btu,Batu
1021,btv,Bateri
1022,btw,Butuanon
1023,btx,Batak Karo
1024,bty,Bobot
1025,btz,Batak Alas-Kluet
1026,bua,Buriat
1027,bub,Bua
1028,buc,Bushi
1029,bud,Ntcham
1030,bue,Beothuk
1031,buf,Bushoong
1032,bug,Buginese
1033,buh,Younuo Bunu
1034,bui,Bongili
1035,buj,Basa-Gurmana
1036,buk,Bugawac
1037,bul,Bulgarian
1038,bum,Bulu (Cameroon)
1039,bun,Sherbro
1040,buo,Terei
1041,bup,Busoa
1042,buq,Brem
1043,bus,Bokobaru
1044,but,Bungain
1045,buu,Budu
1046,buv,Bun
1047,buw,Bubi
1048,bux,Boghom
1049,buy,Bullom So
1050,buz,Bukwen
1051,bva,Barein
1052,bvb,Bube
1053,bvc,Baelelea
1054,bvd,Baeggu
1055,bve,Berau Malay
1056,bvf,Boor
1057,bvg,Bonkeng
1058,bvh,Bure
1059,bvi,Belanda Viri
1060,bvj,Baan
1061,bvk,Bukat
1062,bvl,Bolivian Sign Language
1063,bvm,Bamunka
1064,bvn,Buna
1065,bvo,Bolgo
